name,location,description,estimated_days,image_url
Goa,India,Beach destination known for nightlife,3,https://plus.unsplash.com/premium_photo-1664304458186-9a67c1330d02?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8Z29hJTIwYmVhY2h8ZW58MHx8MHx8fDA%3D
Manali,India,Snowy hill station with adventure sports,4,https://images.unsplash.com/photo-1668022735714-e0323e29b17a?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Jaipur,India,Historic city with forts and palaces,2,https://plus.unsplash.com/premium_photo-1661963054563-ce928e477ff3?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8amFpcHVyfGVufDB8fDB8fHww
Munnar,India,Hill station with tea gardens,3,https://plus.unsplash.com/premium_photo-1697730334419-fba83fe143b7?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bXVubmFyfGVufDB8fDB8fHww
Leh,India,High-altitude desert with stunning landscapes,5,https://plus.unsplash.com/premium_photo-1661962344178-19930ba15492?q=80&w=1171&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rishikesh,India,Yoga capital and river rafting hub,3,https://plus.unsplash.com/premium_photo-1697730398251-40cd8dc57e0b?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Udaipur,India,City of lakes and royal palaces,2,https://plus.unsplash.com/premium_photo-1661964079694-ccfaf7dc8028?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dWRhaXB1cnxlbnwwfHwwfHx8MA%3D%3D
Agra,India,Home of the Taj Mahal,1,https://plus.unsplash.com/premium_photo-1697729441569-f706fdd1f71c?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YWdyYXxlbnwwfHwwfHx8MA%3D%3D
Shimla,India,Popular hill station with colonial charm,3,https://images.unsplash.com/photo-1597074866923-dc0589150358?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8c2hpbWxhfGVufDB8fDB8fHww
Darjeeling,India,Famous for tea plantations,3,https://plus.unsplash.com/premium_photo-1697730303782-6679b6bec202?w=1000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8ZGFyamVlbGluZ3xlbnwwfHwwfHx8MA%3D%3D
